,query,category,intent,sentiment
3954,I am looking for information about the delivery periods,,,
3955,will you show me how soon can I expect the delivery?,,,
3956,where can I find information about delivery period?,,,
3957,can I check when will my item arrive?,,,
3958,help me to check how soon can I expect the delivery,,,
3959,could you help me to check how soon can I expect the item?,,,
3960,will you show me how soon can I expect the item?,,,
3961,help checking how soon can I expect the delivery,,,
3962,how to check how long the delivery takes?,,,
3963,I am trying to find information about the delivery period,,,
3964,where could I check when my item is going to arrive?,,,
3965,I try to check when will my item arrive,,,
3966,how to check when my delivery is going to arrive?,,,
3967,can you show me how soon can I expect the item?,,,
3968,I need to check when will my item arrive,,,
3969,I need help checking when will my item arrive,,,
3970,find information about the delivery periods,,,
3971,I want to know more about delivery period,,,
3972,could you help me checking when my item is going to arrive?,,,
3973,would it be possible to check when will my item arrive?,,,
3974,could you help me check how long the delivery takes?,,,
3975,could you tell me about the delivery periods?,,,
3976,help me to check how long the delivery takes,,,
3977,I need assistance checking how soon can I expect the item,,,
3978,I would like to check how long the delivery takes,,,
3979,I would like to check how soon can I expect the delivery,,,
3980,where could I check how soon can I expect the item?,,,
3981,could I check when my item is going to arrive?,,,
3982,I need information about the delivery periods,,,
3983,I try to check how soon can I expect the item,,,
3984,can you tell me more about the delivery periods?,,,
3985,I want to know about the delivery periods,,,
3986,I need assistance to check when will my item arrive,,,
3987,I call to check how soon can I expect the item,,,
3988,where can I get information about delivery period?,,,
3989,I am trying to find information about delivery period,,,
3990,I need assistance to check how long the delivery takes,,,
3991,I would like to check when my delivery is going to arrive,,,
3992,I am trying to find delivery periods,,,
3993,how can I get information about the delivery period?,,,
3994,delivery period,,,
3995,can you show me when will my item arrive?,,,
3996,I want help to check when my item is going to arrive,,,
3997,where do I check how long the delivery takes?,,,
3998,I need to check when my item is going to arrive,,,
3999,show me how long the delivery takes,,,
4000,show me how soon can I expect the item,,,
4001,I need help checking when my item is going to arrive,,,
4002,tell me about the delivery period,,,
4003,I would like to know more about the delivery period,,,
4004,is it possible to check when will my item arrive?,,,
4005,I would like to know about the delivery periods,,,
4006,I am trying to check when my delivery is going to arrive,,,
4007,where could I find information about delivery periods?,,,
4008,can you tell me about the delivery period?,,,
4009,will you give me information about the delivery period?,,,
4010,I need help to check when my item is going to arrive,,,
4011,could you tell me about delivery period?,,,
4012,I have to check when my delivery is going to arrive,,,
4013,I am looking for the delivery period,,,
4014,I need help checking when my delivery is going to arrive,,,
4015,would you give me information about delivery periods?,,,
4016,I try to check how soon can I expect the delivery,,,
4017,could I check how soon can I expect the delivery?,,,
4018,could you help me check when my delivery is going to arrive?,,,
4019,I need to check when my delivery is going to arrive,,,
4020,I don't know how I could check when will my item arrive,,,
